,code,open,high,low,close,volume,time_key
0,FHSI,20014.0,20014.0,20014.0,20014.0,0,20220809
1,FHSI,19580.0,19580.0,19580.0,19580.0,0,20220810
2,FHSI,20041.0,20041.0,20041.0,20041.0,0,20220811
3,FHSI,20048.0,20048.0,20048.0,20048.0,0,20220813
4,FHSI,20048.0,20048.0,20048.0,20048.0,0,20220815
5,FHSI,19827.0,19827.0,19827.0,19827.0,0,20220816
6,FHSI,19920.0,19920.0,19920.0,19920.0,0,20220817
7,FHSI,19748.0,19748.0,19748.0,19748.0,0,20220818
8,FHSI,19606.0,19606.0,19606.0,19606.0,0,20220820
9,FHSI,19606.0,19606.0,19606.0,19606.0,0,20220822
10,FHSI,19481.0,19481.0,19481.0,19481.0,0,20220823
11,FHSI,19253.0,19253.0,19253.0,19253.0,0,20220824
12,FHSI,19932.0,19932.0,19932.0,19932.0,0,20220825
13,FHSI,20042.0,20042.0,20042.0,20042.0,0,20220827
14,FHSI,20042.0,20042.0,20042.0,20042.0,0,20220829
15,FHSI,19954.0,19954.0,19954.0,19954.0,0,20220830
16,FHSI,19906.0,19906.0,19906.0,19906.0,0,20220831
17,FHSI,19581.0,19581.0,19581.0,19581.0,0,20220901
18,FHSI,19230.0,19230.0,19230.0,19230.0,0,20220903
19,FHSI,19230.0,19230.0,19230.0,19230.0,0,20220905
20,FHSI,19217.0,19217.0,19217.0,19217.0,0,20220906
21,FHSI,19030.0,19054.0,19030.0,19054.0,3,20220907
22,FHSI,18905.0,18905.0,18905.0,18905.0,0,20220908
23,FHSI,19371.0,19371.0,19371.0,19371.0,0,20220910
24,FHSI,19371.0,19371.0,19371.0,19371.0,0,20220913
25,FHSI,18862.0,18862.0,18862.0,18862.0,0,20220914
26,FHSI,18916.0,18916.0,18916.0,18916.0,0,20220915
27,FHSI,18628.0,18628.0,18628.0,18628.0,0,20220917
28,FHSI,18628.0,18628.0,18628.0,18628.0,0,20220919
29,FHSI,18811.0,18811.0,18811.0,18811.0,0,20220920
30,FHSI,18501.0,18501.0,18501.0,18501.0,0,20220921
31,FHSI,18225.0,18225.0,18225.0,18225.0,0,20220922
32,FHSI,18140.0,18140.0,17968.0,17968.0,3,20220926
33,FHSI,17920.0,17920.0,17920.0,17920.0,0,20220927
34,FHSI,17336.0,17336.0,17336.0,17336.0,0,20220928
35,FHSI,17203.0,17203.0,17203.0,17203.0,0,20220929
36,FHSI,18120.0,18120.0,18120.0,18120.0,0,20221004
37,FHSI,18120.0,18120.0,18120.0,18120.0,0,20221005
38,FHSI,18032.0,18032.0,18032.0,18032.0,0,20221006
39,FHSI,17256.0,17256.0,17256.0,17256.0,0,20221008
40,FHSI,17256.0,17256.0,17256.0,17256.0,0,20221010
41,FHSI,16883.0,16883.0,16883.0,16883.0,0,20221011
42,FHSI,16759.0,16759.0,16759.0,16759.0,0,20221012
43,FHSI,16441.0,16441.0,16441.0,16441.0,0,20221013
44,FHSI,16600.0,16600.0,16600.0,16600.0,0,20221015
45,FHSI,16600.0,16600.0,16600.0,16600.0,0,20221017
46,FHSI,16914.0,16914.0,16914.0,16914.0,0,20221018
47,FHSI,16544.0,16544.0,16544.0,16544.0,0,20221019
48,FHSI,16282.0,16282.0,16282.0,16282.0,0,20221020
49,FHSI,15164.0,15164.0,15164.0,15164.0,0,20221022
50,FHSI,15164.0,15164.0,15164.0,15164.0,0,20221024
51,FHSI,15209.0,15209.0,15209.0,15209.0,0,20221025
52,FHSI,15359.0,15359.0,15359.0,15359.0,0,20221026
53,FHSI,15497.0,15497.0,15497.0,15497.0,0,20221027
54,FHSI,15068.0,15069.0,14694.0,14694.0,4,20221031
55,FHSI,14755.0,15658.0,14755.0,15523.0,41,20221101
56,FHSI,15579.0,15952.0,15579.0,15910.0,24,20221102
57,FHSI,15624.0,15624.0,15399.0,15399.0,9,20221103
58,FHSI,15350.0,16510.0,15350.0,16353.0,60,20221104
59,FHSI,16511.0,16540.0,16511.0,16540.0,2,20221105
60,FHSI,16072.0,16816.0,16072.0,16754.0,28,20221107
61,FHSI,16784.0,16784.0,16569.0,16681.0,10,20221108
62,FHSI,16803.0,16803.0,16332.0,16514.0,24,20221109
63,FHSI,16227.0,16242.0,16120.0,16173.0,28,20221110
64,FHSI,16156.0,17464.0,16156.0,17464.0,51,20221111
65,FHSI,17585.0,17590.0,17575.0,17590.0,4,20221112
66,FHSI,18229.0,18235.0,17737.0,17805.0,114,20221114
67,FHSI,17795.0,18505.0,17795.0,18474.0,189,20221115
68,FHSI,18392.0,18646.0,18285.0,18407.0,796,20221116
69,FHSI,18374.0,18374.0,17904.0,18204.0,99,20221117
70,FHSI,18080.0,18532.0,18080.0,18142.0,81,20221118
71,FHSI,18218.0,18222.0,18100.0,18100.0,6,20221119
72,FHSI,17609.0,17823.0,17609.0,17823.0,45,20221121
73,FHSI,17850.0,17864.0,17491.0,17639.0,114,20221122
74,FHSI,17715.0,17816.0,17553.0,17720.0,87,20221123
75,FHSI,17800.0,17925.0,17700.0,17826.0,62,20221124
76,FHSI,17900.0,17900.0,17621.0,17800.0,63,20221125
77,FHSI,17700.0,17700.0,17681.0,17681.0,4,20221126
78,FHSI,17221.0,17475.0,16993.0,17472.0,106,20221128
79,FHSI,17490.0,18414.0,17480.0,18414.0,94,20221129
80,FHSI,18397.0,18788.0,18334.0,18705.0,581,20221130
81,FHSI,18828.0,19318.0,18816.0,18880.0,467,20221201
82,FHSI,18881.0,18951.0,18756.0,18840.0,70,20221202
83,FHSI,19514.0,19669.0,19222.0,19620.0,486,20221205
84,FHSI,19620.0,19668.0,19240.0,19601.0,321,20221206
85,FHSI,19631.0,19884.0,18970.0,18999.0,257,20221207
86,FHSI,18851.0,19600.0,18850.0,19589.0,36,20221208
87,FHSI,19589.0,20072.0,19550.0,20033.0,441,20221209
88,FHSI,19984.0,20007.0,19801.0,19801.0,376,20221210
89,FHSI,19710.0,19851.0,19526.0,19541.0,57,20221212
90,FHSI,19610.0,19833.0,19557.0,19790.0,45,20221213
91,FHSI,19543.0,20228.0,19541.0,19817.0,130,20221214
92,FHSI,19870.0,19870.0,19391.0,19483.0,44,20221215
93,FHSI,19815.0,19850.0,19305.0,19479.0,153,20221216
94,FHSI,19389.0,19565.0,19389.0,19565.0,5,20221217
