"Date","Time","Open","High","Low","Close","TotalVolume"
20/12/2021,09:16:00,23168,23168,23168,23168,1
20/12/2021,09:17:00,23148,23148,23134,23134,2
20/12/2021,09:18:00,23095,23095,23095,23095,1
20/12/2021,09:19:00,23072,23072,23060,23060,3
20/12/2021,09:20:00,23061,23074,23051,23074,21
20/12/2021,09:21:00,23077,23077,23069,23069,3
20/12/2021,09:22:00,23106,23106,23103,23103,3
20/12/2021,09:23:00,23116,23116,23116,23116,1
20/12/2021,09:24:00,23096,23096,23089,23089,8
20/12/2021,09:27:00,23072,23072,23066,23066,2
20/12/2021,09:31:00,23085,23085,23045,23050,9
20/12/2021,09:32:00,23067,23067,23052,23052,28
20/12/2021,09:33:00,23080,23080,23020,23027,16
20/12/2021,09:34:00,23029,23029,23020,23020,8
20/12/2021,09:35:00,23040,23040,23040,23040,1
20/12/2021,09:36:00,23040,23073,23032,23073,108
20/12/2021,09:37:00,23070,23081,23070,23081,106
20/12/2021,09:38:00,23072,23103,23066,23103,67
20/12/2021,09:39:00,23103,23103,23095,23103,31
20/12/2021,09:40:00,23117,23117,23117,23117,2
20/12/2021,09:41:00,23128,23139,23122,23130,37
20/12/2021,09:42:00,23123,23123,23096,23097,25
20/12/2021,09:43:00,23089,23125,23088,23119,70
20/12/2021,09:45:00,23135,23135,23106,23106,7
20/12/2021,09:46:00,23109,23118,23090,23090,14
20/12/2021,09:47:00,23072,23076,23062,23076,6
20/12/2021,09:48:00,23075,23075,23059,23059,25
20/12/2021,09:49:00,23086,23104,23075,23104,41
20/12/2021,09:50:00,23104,23120,23104,23120,3
20/12/2021,09:52:00,23148,23148,23148,23148,1
20/12/2021,09:53:00,23142,23142,23142,23142,1
20/12/2021,09:54:00,23114,23118,23114,23115,21
20/12/2021,09:55:00,23126,23126,23126,23126,2
20/12/2021,09:56:00,23108,23113,23106,23106,18
20/12/2021,09:57:00,23094,23094,23078,23085,21
20/12/2021,09:58:00,23082,23082,23071,23071,8
20/12/2021,09:59:00,23081,23086,23081,23085,9
20/12/2021,10:00:00,23056,23056,23050,23050,4
20/12/2021,10:01:00,23046,23058,23043,23046,8
20/12/2021,10:02:00,23039,23043,23033,23043,18
20/12/2021,10:03:00,23054,23054,23030,23030,4
20/12/2021,10:04:00,23030,23032,23013,23015,109
