"Date","Time","Open","High","Low","Close","TotalVolume"
18/01/2021,09:16:00,28430,28430,28430,28430,1
18/01/2021,09:17:00,28444,28444,28430,28433,4
18/01/2021,09:19:00,28423,28423,28423,28423,3
18/01/2021,09:22:00,28410,28410,28410,28410,1
18/01/2021,09:23:00,28387,28387,28387,28387,1
18/01/2021,09:24:00,28389,28389,28380,28380,6
18/01/2021,09:26:00,28385,28385,28385,28385,2
18/01/2021,09:27:00,28373,28373,28370,28370,3
18/01/2021,09:28:00,28377,28377,28377,28377,1
18/01/2021,09:31:00,28434,28434,28434,28434,1
18/01/2021,09:32:00,28452,28452,28448,28448,2
18/01/2021,09:34:00,28462,28462,28462,28462,1
18/01/2021,09:35:00,28444,28444,28419,28419,3
18/01/2021,09:36:00,28380,28380,28380,28380,1
18/01/2021,09:37:00,28430,28430,28425,28425,2
18/01/2021,09:41:00,28440,28440,28440,28440,1
18/01/2021,09:42:00,28442,28458,28442,28458,2
18/01/2021,09:46:00,28488,28488,28488,28488,1
18/01/2021,09:47:00,28520,28522,28508,28520,11
18/01/2021,09:48:00,28512,28512,28512,28512,1
18/01/2021,09:51:00,28522,28532,28522,28532,8
18/01/2021,09:52:00,28515,28538,28515,28537,14
18/01/2021,09:54:00,28544,28544,28544,28544,1
18/01/2021,09:55:00,28550,28558,28550,28558,8
18/01/2021,09:58:00,28580,28580,28580,28580,2
18/01/2021,10:00:00,28579,28579,28579,28579,8
18/01/2021,10:01:00,28628,28628,28628,28628,1
18/01/2021,10:02:00,28612,28612,28612,28612,1
18/01/2021,10:07:00,28575,28575,28575,28575,1
18/01/2021,10:12:00,28573,28586,28573,28586,43
18/01/2021,10:13:00,28575,28575,28575,28575,34
18/01/2021,10:14:00,28619,28619,28619,28619,1
18/01/2021,10:15:00,28638,28650,28638,28650,3
18/01/2021,10:16:00,28632,28635,28632,28635,6
18/01/2021,10:17:00,28645,28645,28645,28645,1
18/01/2021,10:18:00,28658,28660,28658,28660,2
18/01/2021,10:20:00,28669,28669,28669,28669,8
18/01/2021,10:24:00,28629,28629,28629,28629,1
18/01/2021,10:27:00,28627,28628,28627,28628,2
18/01/2021,10:29:00,28641,28641,28641,28641,2
18/01/2021,10:30:00,28660,28660,28660,28660,1
18/01/2021,10:33:00,28619,28622,28619,28622,2
18/01/2021,10:37:00,28658,28658,28658,28658,5
18/01/2021,10:44:00,28665,28665,28665,28665,1
18/01/2021,10:46:00,28670,28670,28670,28670,1
18/01/2021,10:47:00,28668,28688,28667,28688,6
18/01/2021,10:48:00,28690,28690,28675,28675,13
18/01/2021,10:49:00,28686,28686,28686,28686,1
18/01/2021,10:51:00,28700,28707,28700,28706,6
18/01/2021,10:54:00,28695,28695,28695,28695,1
18/01/2021,10:55:00,28700,28700,28700,28700,1
18/01/2021,10:57:00,28718,28718,28718,28718,1
18/01/2021,10:58:00,28711,28711,28710,28710,8
18/01/2021,11:03:00,28715,28715,28715,28715,1
18/01/2021,11:05:00,28708,28708,28708,28708,1
18/01/2021,11:11:00,28685,28685,28685,28685,1
18/01/2021,11:13:00,28710,28710,28710,28710,2
18/01/2021,11:23:00,28689,28689,28689,28689,1
18/01/2021,11:24:00,28695,28701,28695,28701,2
18/01/2021,11:25:00,28710,28710,28710,28710,1
18/01/2021,11:30:00,28710,28710,28708,28708,24
18/01/2021,11:33:00,28738,28738,28738,28738,1
18/01/2021,11:38:00,28745,28755,28745,28755,5
18/01/2021,11:40:00,28708,28708,28707,28707,3
18/01/2021,11:51:00,28683,28683,28683,28683,1
18/01/2021,11:54:00,28680,28680,28680,28680,1
18/01/2021,11:55:00,28668,28668,28668,28668,1
18/01/2021,11:56:00,28646,28646,28646,28646,1
18/01/2021,11:58:00,28662,28662,28662,28662,20
18/01/2021,11:59:00,28661,28665,28661,28663,19
18/01/2021,13:01:00,28652,28652,28652,28652,1
