"Date","Time","Open","High","Low","Close","TotalVolume"
21/3/2023,09:16:00,19230,19230,19190,19190,36
21/3/2023,09:17:00,19187,19200,19187,19200,67
21/3/2023,09:18:00,19209,19212,19198,19198,59
21/3/2023,09:19:00,19200,19200,19199,19199,2
21/3/2023,09:20:00,19185,19185,19185,19185,1
21/3/2023,09:21:00,19194,19201,19189,19189,8
21/3/2023,09:22:00,19189,19192,19160,19160,6
21/3/2023,09:23:00,19150,19150,19150,19150,2
21/3/2023,09:24:00,19154,19157,19154,19157,10
21/3/2023,09:25:00,19171,19171,19171,19171,1
21/3/2023,09:26:00,19162,19162,19158,19161,4
21/3/2023,09:27:00,19176,19177,19170,19170,5
21/3/2023,09:29:00,19174,19174,19173,19173,3
21/3/2023,09:31:00,19192,19192,19181,19185,8
21/3/2023,09:32:00,19158,19160,19136,19160,4
21/3/2023,09:33:00,19151,19168,19142,19168,8
21/3/2023,09:34:00,19168,19171,19168,19168,5
21/3/2023,09:35:00,19173,19212,19173,19212,4
21/3/2023,09:36:00,19185,19223,19185,19223,8
21/3/2023,09:37:00,19200,19222,19195,19222,14
21/3/2023,09:38:00,19178,19178,19172,19175,8
21/3/2023,09:39:00,19182,19182,19182,19182,2
21/3/2023,09:40:00,19211,19211,19211,19211,1
21/3/2023,09:41:00,19195,19199,19184,19184,10
21/3/2023,09:42:00,19193,19193,19191,19191,4
21/3/2023,09:43:00,19156,19182,19156,19182,11
21/3/2023,09:44:00,19175,19175,19144,19144,3
21/3/2023,09:45:00,19146,19151,19146,19151,2
21/3/2023,09:46:00,19150,19154,19150,19154,4
21/3/2023,09:47:00,19155,19155,19139,19139,4
21/3/2023,09:48:00,19155,19155,19151,19151,4
21/3/2023,09:49:00,19153,19153,19150,19150,2
21/3/2023,09:50:00,19160,19165,19160,19165,2
21/3/2023,09:51:00,19182,19200,19182,19200,12
21/3/2023,09:52:00,19213,19230,19213,19230,13
21/3/2023,09:53:00,19206,19206,19206,19206,1
21/3/2023,09:54:00,19216,19216,19215,19216,3
21/3/2023,09:55:00,19225,19238,19225,19238,2
21/3/2023,09:56:00,19250,19250,19234,19234,18
21/3/2023,09:57:00,19248,19249,19244,19248,7
21/3/2023,09:58:00,19248,19248,19240,19240,2
21/3/2023,09:59:00,19242,19242,19242,19242,1
21/3/2023,10:00:00,19239,19239,19232,19232,3
21/3/2023,10:01:00,19233,19242,19233,19237,29
21/3/2023,10:02:00,19252,19262,19247,19262,3
21/3/2023,10:03:00,19258,19271,19258,19271,2
21/3/2023,10:04:00,19270,19270,19270,19270,1
21/3/2023,10:05:00,19255,19255,19255,19255,1
21/3/2023,10:06:00,19265,19265,19262,19262,2
21/3/2023,10:07:00,19270,19272,19270,19270,4
21/3/2023,10:08:00,19263,19263,19259,19262,4
21/3/2023,10:09:00,19232,19239,19232,19239,221
21/3/2023,10:10:00,19230,19230,19221,19221,5
21/3/2023,10:11:00,19219,19222,19219,19222,2
21/3/2023,10:12:00,19227,19227,19227,19227,1
21/3/2023,10:13:00,19231,19231,19220,19220,2
21/3/2023,10:14:00,19214,19214,19198,19198,3
21/3/2023,10:15:00,19180,19180,19180,19180,5
21/3/2023,10:16:00,19181,19181,19160,19160,3
21/3/2023,10:17:00,19163,19163,19163,19163,1
21/3/2023,10:18:00,19167,19167,19167,19167,1
21/3/2023,10:19:00,19185,19190,19185,19190,2
21/3/2023,10:20:00,19193,19193,19193,19193,1
21/3/2023,10:21:00,19177,19177,19177,19177,1
21/3/2023,10:22:00,19182,19182,19168,19169,3
21/3/2023,10:23:00,19195,19195,19195,19195,1
21/3/2023,10:24:00,19198,19198,19198,19198,1
21/3/2023,10:25:00,19199,19199,19187,19187,6
21/3/2023,10:26:00,19170,19170,19170,19170,1
21/3/2023,10:27:00,19180,19180,19167,19167,2
21/3/2023,10:28:00,19156,19156,19150,19150,7
21/3/2023,10:29:00,19150,19150,19150,19150,1
21/3/2023,10:30:00,19147,19154,19145,19154,14
21/3/2023,10:31:00,19167,19167,19167,19167,1
21/3/2023,10:32:00,19194,19195,19194,19195,2
21/3/2023,10:33:00,19200,19204,19200,19200,10
21/3/2023,10:34:00,19197,19197,19197,19197,1
21/3/2023,10:35:00,19179,19179,19177,19177,2
21/3/2023,10:36:00,19187,19187,19187,19187,1
21/3/2023,10:37:00,19178,19178,19178,19178,1
21/3/2023,10:38:00,19182,19197,19182,19197,2
21/3/2023,10:39:00,19200,19200,19199,19199,11
21/3/2023,10:40:00,19180,19180,19180,19180,1
21/3/2023,10:41:00,19186,19186,19176,19176,2
21/3/2023,10:42:00,19185,19185,19182,19182,51
21/3/2023,10:43:00,19184,19184,19158,19158,2
21/3/2023,10:44:00,19166,19166,19166,19166,1
21/3/2023,10:45:00,19169,19169,19169,19169,1
21/3/2023,10:46:00,19175,19176,19175,19176,2
21/3/2023,10:47:00,19163,19163,19163,19163,1
21/3/2023,10:48:00,19164,19164,19164,19164,1
21/3/2023,10:49:00,19171,19190,19171,19190,2
21/3/2023,10:50:00,19208,19220,19208,19211,8
21/3/2023,10:51:00,19212,19212,19201,19201,11
21/3/2023,10:52:00,19200,19210,19198,19210,4
21/3/2023,10:53:00,19215,19215,19209,19209,2
21/3/2023,10:54:00,19212,19212,19197,19197,4
21/3/2023,10:55:00,19211,19211,19211,19211,1
21/3/2023,10:56:00,19203,19203,19195,19195,2
21/3/2023,10:57:00,19197,19197,19190,19190,2
21/3/2023,10:58:00,19199,19199,19198,19199,4
