"Date","Time","Open","High","Low","Close","TotalVolume"
20/04/2020,09:17:00,24211,24211,24199,24200,7
20/04/2020,09:18:00,24201,24203,24201,24203,2
20/04/2020,09:19:00,24203,24211,24203,24205,7
20/04/2020,09:20:00,24214,24246,24212,24246,122
20/04/2020,09:21:00,24260,24260,24250,24250,2
20/04/2020,09:22:00,24275,24275,24270,24270,2
20/04/2020,09:23:00,24270,24270,24246,24246,7
20/04/2020,09:24:00,24266,24266,24266,24266,1
20/04/2020,09:25:00,24280,24280,24280,24280,2
20/04/2020,09:26:00,24294,24300,24294,24300,3
20/04/2020,09:27:00,24280,24280,24280,24280,1
20/04/2020,09:28:00,24280,24280,24280,24280,1
20/04/2020,09:29:00,24290,24290,24290,24290,1
20/04/2020,09:30:00,24278,24278,24278,24278,1
20/04/2020,09:31:00,24290,24320,24280,24280,3
20/04/2020,09:32:00,24270,24270,24230,24238,11
20/04/2020,09:33:00,24225,24225,24185,24185,10
20/04/2020,09:34:00,24201,24210,24178,24178,78
20/04/2020,09:35:00,24173,24204,24173,24204,2
20/04/2020,09:36:00,24189,24189,24168,24168,2
20/04/2020,09:38:00,24175,24175,24175,24175,1
20/04/2020,09:43:00,24140,24140,24140,24140,6
20/04/2020,09:44:00,24100,24100,24098,24098,3
20/04/2020,09:48:00,24150,24150,24150,24150,1
20/04/2020,09:50:00,24192,24192,24192,24192,1
20/04/2020,09:51:00,24190,24190,24190,24190,1
20/04/2020,09:55:00,24230,24240,24230,24240,2
20/04/2020,09:56:00,24241,24241,24238,24238,2
20/04/2020,09:57:00,24248,24250,24248,24250,4
20/04/2020,09:59:00,24250,24250,24238,24238,3
20/04/2020,10:00:00,24237,24237,24237,24237,1
20/04/2020,10:01:00,24260,24260,24260,24260,1
20/04/2020,10:02:00,24271,24284,24271,24284,2
20/04/2020,10:04:00,24299,24299,24299,24299,1
20/04/2020,10:05:00,24300,24300,24300,24300,1
20/04/2020,10:06:00,24307,24307,24306,24306,2
20/04/2020,10:07:00,24316,24316,24316,24316,1
20/04/2020,10:08:00,24319,24319,24319,24319,19
