"Date","Time","Open","High","Low","Close","TotalVolume"
18/05/2021,09:16:00,28069,28169,28069,28169,10
18/05/2021,09:17:00,28169,28169,28152,28155,6
18/05/2021,09:18:00,28130,28145,28130,28144,4
18/05/2021,09:19:00,28150,28153,28150,28153,2
18/05/2021,09:20:00,28194,28200,28194,28200,2
18/05/2021,09:21:00,28233,28240,28220,28220,6
18/05/2021,09:22:00,28234,28234,28214,28214,5
18/05/2021,09:23:00,28250,28302,28250,28264,6
18/05/2021,09:24:00,28279,28285,28259,28265,7
18/05/2021,09:25:00,28269,28269,28269,28269,1
18/05/2021,09:26:00,28271,28271,28250,28250,50
18/05/2021,09:27:00,28253,28253,28251,28251,2
18/05/2021,09:28:00,28250,28250,28250,28250,1
18/05/2021,09:29:00,28279,28280,28273,28273,5
18/05/2021,09:30:00,28268,28268,28268,28268,1
18/05/2021,09:31:00,28274,28274,28230,28240,10
18/05/2021,09:32:00,28252,28263,28251,28261,9
18/05/2021,09:33:00,28270,28279,28270,28279,3
18/05/2021,09:35:00,28253,28289,28253,28285,9
18/05/2021,09:36:00,28300,28363,28300,28359,25
18/05/2021,09:37:00,28369,28373,28344,28344,7
18/05/2021,09:38:00,28347,28347,28347,28347,1
18/05/2021,09:39:00,28324,28324,28324,28324,5
18/05/2021,09:40:00,28330,28330,28321,28326,3
18/05/2021,09:41:00,28347,28347,28313,28313,2
18/05/2021,09:42:00,28300,28319,28300,28302,10
18/05/2021,09:43:00,28295,28295,28295,28295,1
18/05/2021,09:46:00,28324,28347,28324,28347,5
18/05/2021,09:47:00,28359,28359,28343,28343,3
18/05/2021,09:48:00,28334,28334,28334,28334,1
18/05/2021,09:49:00,28328,28328,28328,28328,1
18/05/2021,09:50:00,28306,28308,28305,28305,7
18/05/2021,09:51:00,28324,28325,28310,28310,8
18/05/2021,09:52:00,28285,28285,28278,28278,3
18/05/2021,09:53:00,28303,28319,28303,28319,4
18/05/2021,09:54:00,28330,28330,28323,28323,6
18/05/2021,09:55:00,28321,28321,28321,28321,1
18/05/2021,09:56:00,28337,28337,28324,28324,3
18/05/2021,09:57:00,28319,28319,28310,28310,3
18/05/2021,09:58:00,28295,28295,28280,28280,11
18/05/2021,09:59:00,28279,28279,28279,28279,1
18/05/2021,10:00:00,28282,28295,28282,28294,4
18/05/2021,10:01:00,28299,28311,28298,28311,4
18/05/2021,10:02:00,28313,28313,28302,28302,6
18/05/2021,10:03:00,28306,28306,28302,28302,3
18/05/2021,10:04:00,28305,28313,28305,28308,3
18/05/2021,10:05:00,28298,28318,28298,28318,5
18/05/2021,10:07:00,28315,28315,28311,28311,2
18/05/2021,10:08:00,28312,28312,28312,28312,1
18/05/2021,10:09:00,28314,28317,28311,28317,85
18/05/2021,10:10:00,28330,28330,28330,28330,1
18/05/2021,10:11:00,28335,28343,28335,28343,6
18/05/2021,10:12:00,28346,28346,28323,28323,3
18/05/2021,10:14:00,28307,28312,28307,28311,4
18/05/2021,10:15:00,28309,28314,28309,28309,3
18/05/2021,10:18:00,28300,28300,28297,28300,3
18/05/2021,10:19:00,28293,28300,28293,28300,2
18/05/2021,10:20:00,28296,28296,28296,28296,1
18/05/2021,10:21:00,28298,28298,28297,28297,5
18/05/2021,10:22:00,28294,28294,28294,28294,1
18/05/2021,10:23:00,28281,28281,28281,28281,1
18/05/2021,10:24:00,28274,28274,28274,28274,1
18/05/2021,10:25:00,28264,28264,28264,28264,1
18/05/2021,10:26:00,28258,28267,28258,28263,3
18/05/2021,10:28:00,28275,28275,28275,28275,1
18/05/2021,10:30:00,28288,28293,28288,28293,5
18/05/2021,10:31:00,28272,28272,28272,28272,1
18/05/2021,10:32:00,28276,28276,28276,28276,1
18/05/2021,10:35:00,28288,28288,28288,28288,2
18/05/2021,10:37:00,28270,28272,28269,28269,5
18/05/2021,10:40:00,28285,28287,28285,28287,2
