"Date","Time","Open","High","Low","Close","TotalVolume"
28/06/2019,09:18:00,28510,28515,28510,28515,2
28/06/2019,09:19:00,28503,28503,28503,28503,1
28/06/2019,09:21:00,28499,28499,28499,28499,1
28/06/2019,09:24:00,28494,28494,28494,28494,7
28/06/2019,09:25:00,28499,28499,28499,28499,6
28/06/2019,09:26:00,28510,28510,28510,28510,1
28/06/2019,09:29:00,28515,28515,28515,28515,1
28/06/2019,09:30:00,28502,28502,28500,28500,2
28/06/2019,09:34:00,28469,28469,28469,28469,1
28/06/2019,09:40:00,28420,28420,28420,28420,4
28/06/2019,09:46:00,28419,28419,28400,28402,6
28/06/2019,10:02:00,28435,28435,28435,28435,4
28/06/2019,10:16:00,28415,28415,28415,28415,1
28/06/2019,10:17:00,28412,28415,28412,28415,4
28/06/2019,10:18:00,28428,28428,28428,28428,2
28/06/2019,10:19:00,28429,28430,28424,28424,3
28/06/2019,10:35:00,28410,28410,28410,28410,1
28/06/2019,10:46:00,28374,28374,28374,28374,10
28/06/2019,10:52:00,28379,28379,28379,28379,2
28/06/2019,10:53:00,28378,28378,28376,28376,20
28/06/2019,10:57:00,28354,28354,28354,28354,5
28/06/2019,10:58:00,28352,28361,28346,28346,52
28/06/2019,10:59:00,28348,28348,28348,28348,1
28/06/2019,11:03:00,28361,28361,28361,28361,3
28/06/2019,11:06:00,28362,28362,28362,28362,20
28/06/2019,11:40:00,28402,28402,28402,28402,2
28/06/2019,11:59:00,28392,28392,28392,28392,1
28/06/2019,13:12:00,28380,28380,28380,28380,1
28/06/2019,13:45:00,28375,28375,28375,28375,1
28/06/2019,13:46:00,28371,28371,28371,28371,1
28/06/2019,13:56:00,28359,28359,28359,28359,1
28/06/2019,14:02:00,28383,28383,28382,28382,2
28/06/2019,14:14:00,28385,28387,28385,28387,3
28/06/2019,14:30:00,28420,28420,28420,28420,10
28/06/2019,14:32:00,28421,28421,28421,28421,34
28/06/2019,14:36:00,28416,28416,28416,28416,2
28/06/2019,14:37:00,28415,28416,28413,28413,25
28/06/2019,14:51:00,28419,28419,28419,28419,2
28/06/2019,15:05:00,28435,28435,28435,28435,1
28/06/2019,15:09:00,28445,28445,28445,28445,1
28/06/2019,15:11:00,28460,28460,28451,28451,4
28/06/2019,15:12:00,28449,28449,28449,28449,1
