"Date","Time","Open","High","Low","Close","TotalVolume"
18/10/2021,09:16:00,25381,25381,25381,25381,3
18/10/2021,09:17:00,25396,25396,25358,25367,6
18/10/2021,09:18:00,25349,25366,25343,25366,7
18/10/2021,09:20:00,25353,25353,25352,25352,2
18/10/2021,09:22:00,25368,25368,25354,25354,2
18/10/2021,09:23:00,25364,25364,25364,25364,4
18/10/2021,09:24:00,25360,25360,25360,25360,7
18/10/2021,09:25:00,25359,25359,25357,25357,7
18/10/2021,09:26:00,25354,25354,25354,25354,4
18/10/2021,09:27:00,25345,25356,25345,25346,12
18/10/2021,09:28:00,25359,25371,25359,25371,11
18/10/2021,09:30:00,25356,25356,25356,25356,1
18/10/2021,09:31:00,25327,25327,25272,25272,10
18/10/2021,09:32:00,25269,25271,25268,25268,10
18/10/2021,09:33:00,25248,25248,25248,25248,1
18/10/2021,09:34:00,25235,25239,25235,25239,4
18/10/2021,09:35:00,25239,25255,25239,25241,4
18/10/2021,09:36:00,25214,25214,25186,25213,10
18/10/2021,09:37:00,25190,25190,25155,25160,16
18/10/2021,09:38:00,25167,25192,25160,25160,17
18/10/2021,09:39:00,25167,25180,25160,25160,8
18/10/2021,09:40:00,25160,25160,25120,25146,21
18/10/2021,09:41:00,25145,25145,25140,25140,4
18/10/2021,09:42:00,25116,25139,25116,25132,6
18/10/2021,09:43:00,25118,25129,25100,25110,14
18/10/2021,09:44:00,25102,25111,25102,25111,3
18/10/2021,09:45:00,25104,25110,25088,25110,9
18/10/2021,09:46:00,25081,25085,25077,25085,6
18/10/2021,09:47:00,25088,25090,25072,25090,8
18/10/2021,09:48:00,25101,25103,25085,25088,11
18/10/2021,09:50:00,25120,25134,25118,25134,10
18/10/2021,09:51:00,25124,25126,25122,25126,7
18/10/2021,09:54:00,25151,25151,25151,25151,3
18/10/2021,09:56:00,25129,25129,25129,25129,1
18/10/2021,09:57:00,25173,25173,25173,25173,2
18/10/2021,09:58:00,25180,25180,25180,25180,4
18/10/2021,09:59:00,25170,25170,25168,25168,3
18/10/2021,10:00:00,25152,25169,25152,25169,5
18/10/2021,10:01:00,25131,25131,25113,25113,5
18/10/2021,10:04:00,25118,25138,25118,25138,5
18/10/2021,10:05:00,25134,25172,25134,25172,5
18/10/2021,10:06:00,25166,25166,25166,25166,1
18/10/2021,10:07:00,25145,25145,25145,25145,1
18/10/2021,10:08:00,25152,25152,25152,25152,1
18/10/2021,10:09:00,25136,25136,25136,25136,3
18/10/2021,10:10:00,25122,25122,25121,25122,4
18/10/2021,10:11:00,25097,25097,25090,25092,7
18/10/2021,10:13:00,25113,25113,25112,25112,6
18/10/2021,10:16:00,25116,25116,25097,25097,92
18/10/2021,10:17:00,25121,25122,25121,25122,3
