"Date","Time","Open","High","Low","Close","TotalVolume"
17/11/2020,09:16:00,26505,26513,26505,26513,2
17/11/2020,09:17:00,26502,26502,26490,26490,12
17/11/2020,09:18:00,26490,26490,26480,26480,3
17/11/2020,09:19:00,26474,26474,26474,26474,1
17/11/2020,09:20:00,26470,26480,26470,26480,8
17/11/2020,09:22:00,26490,26492,26490,26490,7
17/11/2020,09:23:00,26485,26485,26485,26485,2
17/11/2020,09:25:00,26470,26470,26470,26470,1
17/11/2020,09:26:00,26462,26462,26460,26460,10
17/11/2020,09:28:00,26460,26460,26456,26456,10
17/11/2020,09:31:00,26450,26450,26420,26421,15
17/11/2020,09:32:00,26420,26420,26400,26400,2
17/11/2020,09:34:00,26419,26419,26419,26419,5
17/11/2020,09:35:00,26423,26432,26417,26428,11
17/11/2020,09:36:00,26473,26492,26473,26492,15
17/11/2020,09:37:00,26504,26504,26500,26500,12
17/11/2020,09:38:00,26495,26505,26494,26505,6
17/11/2020,09:39:00,26509,26509,26503,26503,10
17/11/2020,09:40:00,26442,26442,26441,26441,5
17/11/2020,09:42:00,26440,26440,26440,26440,1
17/11/2020,09:44:00,26446,26446,26446,26446,5
17/11/2020,09:45:00,26438,26438,26438,26438,1
17/11/2020,09:47:00,26413,26413,26413,26413,5
17/11/2020,09:49:00,26410,26410,26410,26410,5
17/11/2020,09:53:00,26405,26405,26401,26401,11
17/11/2020,09:56:00,26415,26427,26415,26427,16
17/11/2020,09:57:00,26409,26409,26407,26407,5
17/11/2020,09:58:00,26413,26413,26413,26413,10
17/11/2020,10:00:00,26389,26389,26389,26389,1
17/11/2020,10:01:00,26386,26413,26386,26413,16
17/11/2020,10:02:00,26411,26420,26411,26420,18
17/11/2020,10:03:00,26415,26418,26415,26418,64
17/11/2020,10:08:00,26405,26406,26405,26406,6
17/11/2020,10:09:00,26396,26396,26395,26395,5
17/11/2020,10:12:00,26395,26395,26395,26395,1
17/11/2020,10:13:00,26411,26413,26411,26413,20
17/11/2020,10:14:00,26411,26411,26411,26411,1
17/11/2020,10:15:00,26410,26410,26408,26408,2
17/11/2020,10:16:00,26407,26410,26407,26410,10
17/11/2020,10:17:00,26413,26420,26413,26420,23
17/11/2020,10:19:00,26411,26411,26396,26396,10
17/11/2020,10:22:00,26399,26399,26398,26398,5
17/11/2020,10:23:00,26391,26391,26391,26391,1
17/11/2020,10:24:00,26400,26400,26400,26400,1
17/11/2020,10:25:00,26401,26401,26392,26392,12
17/11/2020,10:27:00,26409,26409,26409,26409,1
17/11/2020,10:28:00,26411,26418,26411,26418,20
17/11/2020,10:29:00,26420,26420,26418,26418,5
17/11/2020,10:31:00,26415,26415,26407,26407,2
17/11/2020,10:32:00,26405,26405,26405,26405,1
17/11/2020,10:33:00,26411,26411,26411,26411,1
17/11/2020,10:34:00,26417,26418,26413,26415,19
17/11/2020,10:37:00,26430,26430,26430,26430,11
17/11/2020,10:38:00,26438,26440,26437,26438,22
17/11/2020,10:39:00,26443,26443,26443,26443,1
17/11/2020,10:40:00,26433,26433,26432,26432,10
17/11/2020,10:41:00,26430,26430,26430,26430,9
17/11/2020,10:43:00,26409,26409,26409,26409,2
17/11/2020,10:44:00,26418,26418,26418,26418,2
17/11/2020,10:45:00,26418,26418,26418,26418,8
17/11/2020,10:47:00,26418,26419,26418,26418,15
17/11/2020,10:51:00,26389,26389,26389,26389,1
17/11/2020,10:52:00,26380,26380,26380,26380,1
17/11/2020,10:53:00,26366,26366,26366,26366,2
17/11/2020,10:55:00,26357,26357,26357,26357,5
17/11/2020,10:57:00,26384,26385,26375,26375,10
17/11/2020,10:59:00,26363,26363,26363,26363,4
17/11/2020,11:01:00,26392,26392,26392,26392,4
17/11/2020,11:03:00,26385,26385,26385,26385,1
17/11/2020,11:04:00,26386,26386,26386,26386,1
17/11/2020,11:07:00,26391,26391,26391,26391,6
17/11/2020,11:09:00,26394,26394,26394,26394,4
17/11/2020,11:10:00,26380,26380,26380,26380,1
17/11/2020,11:11:00,26363,26363,26363,26363,6
17/11/2020,11:12:00,26362,26362,26362,26362,1
17/11/2020,11:13:00,26360,26360,26350,26350,4
17/11/2020,11:14:00,26345,26345,26345,26345,6
17/11/2020,11:15:00,26343,26343,26343,26343,1
17/11/2020,11:17:00,26342,26342,26342,26342,2
17/11/2020,11:18:00,26350,26368,26350,26368,6
17/11/2020,11:23:00,26368,26368,26368,26368,4
17/11/2020,11:28:00,26367,26367,26367,26367,11
17/11/2020,11:38:00,26385,26385,26385,26385,1
17/11/2020,11:59:00,26400,26400,26400,26400,1
17/11/2020,13:06:00,26390,26390,26390,26390,6
17/11/2020,13:12:00,26396,26396,26396,26396,1
17/11/2020,13:14:00,26408,26408,26408,26408,1
17/11/2020,13:15:00,26406,26406,26402,26402,6
17/11/2020,13:23:00,26381,26381,26380,26380,5
17/11/2020,13:25:00,26375,26375,26375,26375,1
17/11/2020,13:29:00,26376,26376,26376,26376,5
17/11/2020,13:30:00,26372,26376,26372,26376,4
17/11/2020,13:31:00,26369,26369,26369,26369,1
17/11/2020,13:32:00,26364,26364,26364,26364,1
17/11/2020,13:33:00,26363,26363,26363,26363,4
17/11/2020,13:38:00,26354,26354,26353,26353,3
17/11/2020,13:39:00,26362,26362,26362,26362,2
17/11/2020,13:43:00,26385,26385,26384,26384,2
17/11/2020,13:48:00,26373,26373,26373,26373,1
17/11/2020,13:49:00,26363,26363,26363,26363,1
17/11/2020,13:58:00,26353,26355,26353,26355,2
17/11/2020,13:59:00,26355,26355,26355,26355,2
17/11/2020,14:01:00,26350,26351,26350,26351,3
17/11/2020,14:03:00,26340,26340,26334,26334,2
17/11/2020,14:22:00,26371,26371,26371,26371,3
17/11/2020,14:26:00,26377,26377,26377,26377,4
17/11/2020,14:28:00,26366,26366,26360,26360,2
17/11/2020,14:30:00,26360,26360,26360,26360,4
17/11/2020,14:31:00,26364,26364,26364,26364,1
17/11/2020,14:32:00,26380,26380,26376,26376,2
17/11/2020,14:35:00,26366,26368,26366,26368,2
17/11/2020,14:39:00,26381,26381,26381,26381,1
17/11/2020,14:40:00,26379,26379,26379,26379,9
17/11/2020,14:43:00,26400,26400,26400,26400,1
17/11/2020,14:44:00,26408,26408,26408,26408,1
17/11/2020,14:48:00,26398,26398,26397,26397,2
17/11/2020,14:54:00,26404,26404,26404,26404,2
17/11/2020,15:31:00,26419,26419,26419,26419,4
17/11/2020,15:33:00,26420,26420,26420,26420,1
17/11/2020,15:35:00,26408,26408,26408,26408,1
17/11/2020,15:37:00,26394,26394,26394,26394,4
17/11/2020,15:38:00,26400,26400,26400,26400,2
17/11/2020,15:39:00,26390,26390,26390,26390,1
17/11/2020,15:40:00,26385,26385,26385,26385,2
17/11/2020,15:43:00,26388,26388,26388,26388,1
17/11/2020,15:44:00,26383,26383,26383,26383,1
17/11/2020,15:51:00,26394,26394,26394,26394,4
17/11/2020,16:01:00,26407,26407,26407,26407,1
17/11/2020,16:02:00,26409,26409,26409,26409,1
17/11/2020,16:03:00,26430,26430,26430,26430,1
17/11/2020,16:05:00,26416,26416,26416,26416,4
17/11/2020,16:07:00,26399,26401,26399,26401,12
17/11/2020,16:08:00,26405,26405,26405,26405,11
17/11/2020,16:24:00,26397,26398,26397,26398,6
17/11/2020,16:28:00,26405,26405,26405,26405,1
17/11/2020,16:30:00,26402,26402,26402,26402,1
17/11/2020,17:17:00,26419,26419,26419,26419,3
17/11/2020,18:17:00,26402,26402,26402,26402,5
17/11/2020,18:18:00,26402,26402,26402,26402,2
17/11/2020,18:29:00,26400,26400,26400,26400,1
17/11/2020,18:42:00,26398,26398,26395,26395,12
17/11/2020,18:50:00,26397,26397,26397,26397,1
17/11/2020,18:51:00,26397,26397,26397,26397,3
17/11/2020,18:54:00,26390,26390,26390,26390,1
17/11/2020,19:00:00,26397,26397,26397,26397,4
17/11/2020,19:13:00,26360,26360,26359,26359,2
17/11/2020,19:20:00,26362,26362,26360,26360,2
17/11/2020,20:01:00,26389,26389,26389,26389,1
17/11/2020,20:40:00,26376,26376,26376,26376,6
17/11/2020,21:04:00,26360,26360,26360,26360,1
17/11/2020,21:07:00,26358,26358,26357,26357,2
17/11/2020,21:08:00,26356,26356,26355,26355,2
17/11/2020,21:09:00,26354,26354,26350,26350,5
17/11/2020,21:10:00,26340,26340,26340,26340,1
17/11/2020,21:11:00,26335,26335,26334,26334,2
17/11/2020,21:15:00,26334,26334,26333,26333,2
17/11/2020,21:16:00,26335,26335,26335,26335,1
17/11/2020,21:28:00,26335,26335,26335,26335,1
17/11/2020,21:32:00,26322,26322,26322,26322,1
17/11/2020,21:33:00,26328,26328,26322,26322,2
17/11/2020,21:36:00,26336,26336,26335,26335,4
17/11/2020,21:41:00,26323,26323,26323,26323,1
17/11/2020,21:44:00,26318,26318,26318,26318,1
17/11/2020,21:45:00,26317,26317,26317,26317,1
17/11/2020,22:03:00,26300,26300,26300,26300,1
17/11/2020,22:11:00,26298,26298,26298,26298,3
17/11/2020,22:19:00,26300,26300,26300,26300,1
17/11/2020,22:32:00,26320,26320,26320,26320,1
17/11/2020,22:36:00,26296,26297,26296,26297,2
17/11/2020,22:39:00,26291,26291,26291,26291,1
17/11/2020,22:40:00,26299,26300,26299,26300,6
17/11/2020,23:11:00,26320,26320,26320,26320,1
17/11/2020,23:36:00,26338,26338,26337,26337,3
17/11/2020,23:57:00,26388,26388,26388,26388,1
17/11/2020,23:58:00,26388,26388,26388,26388,1
18/11/2020,00:19:00,26399,26399,26399,26399,1
18/11/2020,00:21:00,26400,26400,26400,26400,1
18/11/2020,00:55:00,26400,26403,26400,26403,2
18/11/2020,00:56:00,26402,26402,26402,26402,1
18/11/2020,00:57:00,26403,26404,26403,26404,2
18/11/2020,00:58:00,26405,26405,26405,26405,1
18/11/2020,00:59:00,26403,26403,26403,26403,1
18/11/2020,01:08:00,26406,26406,26406,26406,1
18/11/2020,01:09:00,26407,26407,26407,26407,1
18/11/2020,01:12:00,26408,26409,26408,26409,4
18/11/2020,01:15:00,26420,26420,26420,26420,1
18/11/2020,01:20:00,26428,26428,26428,26428,1
18/11/2020,02:29:00,26448,26448,26448,26448,1
18/11/2020,02:38:00,26450,26450,26450,26450,1
18/11/2020,09:16:00,26405,26405,26392,26397,4
18/11/2020,09:19:00,26408,26409,26408,26409,4
18/11/2020,09:21:00,26438,26438,26438,26438,1
18/11/2020,09:22:00,26429,26429,26429,26429,1
18/11/2020,09:29:00,26403,26403,26400,26403,14
18/11/2020,09:30:00,26410,26410,26410,26410,1
18/11/2020,09:31:00,26403,26403,26394,26394,3
18/11/2020,09:32:00,26389,26389,26387,26387,5
18/11/2020,09:33:00,26384,26412,26380,26407,19
18/11/2020,09:34:00,26390,26390,26390,26390,2
18/11/2020,09:35:00,26396,26412,26396,26412,3
18/11/2020,09:36:00,26432,26458,26432,26458,14
18/11/2020,09:37:00,26468,26470,26462,26467,17
18/11/2020,09:38:00,26429,26429,26429,26429,1
18/11/2020,09:39:00,26420,26420,26420,26420,1
18/11/2020,09:41:00,26432,26460,26431,26459,6
18/11/2020,09:42:00,26468,26480,26468,26478,4
18/11/2020,09:43:00,26467,26467,26466,26466,2
18/11/2020,09:47:00,26449,26449,26449,26449,1
18/11/2020,09:49:00,26440,26440,26440,26440,1
18/11/2020,09:50:00,26460,26460,26460,26460,1
18/11/2020,09:51:00,26468,26476,26468,26476,2
18/11/2020,09:53:00,26440,26440,26440,26440,1
18/11/2020,09:55:00,26420,26420,26420,26420,1
18/11/2020,09:56:00,26409,26409,26409,26409,3
18/11/2020,09:58:00,26422,26422,26422,26422,2
18/11/2020,10:02:00,26393,26393,26393,26393,1
18/11/2020,10:03:00,26410,26410,26396,26399,3
18/11/2020,10:04:00,26402,26403,26392,26403,62
18/11/2020,10:05:00,26413,26417,26413,26415,6
18/11/2020,10:06:00,26412,26412,26412,26412,1
18/11/2020,10:08:00,26401,26401,26401,26401,25
18/11/2020,10:09:00,26390,26390,26390,26390,1
18/11/2020,10:10:00,26380,26380,26380,26380,3
18/11/2020,10:11:00,26366,26367,26366,26367,2
18/11/2020,10:12:00,26376,26376,26376,26376,2
18/11/2020,10:13:00,26380,26380,26380,26380,1
18/11/2020,10:14:00,26373,26373,26373,26373,1
18/11/2020,10:17:00,26385,26389,26383,26383,6
18/11/2020,10:19:00,26403,26408,26403,26408,2
18/11/2020,10:20:00,26403,26403,26403,26403,4
18/11/2020,10:21:00,26410,26410,26410,26410,1
18/11/2020,10:22:00,26407,26407,26406,26406,3
