2023-06-16 15:10:25 <root> [ DEBUG    ] debug "(main.py:119)"
2023-06-16 15:10:25 <root> [ INFO     ] info "(main.py:120)"
2023-06-16 15:10:25 <root> [ WARNING  ] warning "(main.py:121)"
2023-06-16 15:10:25 <root> [ ERROR    ] error "(main.py:122)"
2023-06-16 15:10:25 <root> [ CRITICAL ] critical "(main.py:123)"
2023-06-19 13:16:22 <root> [ DEBUG    ] Start launching Futu-OpenD. "(programme.py:13)"
2023-06-19 13:16:22 <root> [ DEBUG    ] This is not a server, please make sure IB TWS is running and accepted this connection. "(programme.py:32)"
2023-06-19 13:37:55 <root> [ DEBUG    ] Start launching Futu-OpenD. "(programme.py:13)"
2023-06-19 13:37:55 <root> [ DEBUG    ] This is not a server, please make sure IB TWS is running and accepted this connection. "(programme.py:32)"
2023-06-19 13:38:06 <root> [ DEBUG    ] Start launching Futu-OpenD. "(programme.py:13)"
2023-06-19 13:38:06 <root> [ DEBUG    ] This is not a server, please make sure IB TWS is running and accepted this connection. "(programme.py:32)"
